request,PS_g,PS_r,PS_i,PS_z,PS_y,p,pe
4398887092042907904,15.4471,15.677,15.9025,16.0837,15.9971,18.61649076,0.053988064
4399049510521746048,0,0,0,0,0,12.35735279,0.418694515
439905192004402304,17.9979,17.450899,17.2502,17.1723,17.1126,27.24744562,0.111238267
4400264883189120256,0,0,0,0,0,14.50078382,0.069790252
4400853804808636672,0,0,0,0,0,10.08950086,0.515846419
4401558183740868480,16.48209953,16.58449936,16.7154007,16.89159966,16.98970032,13.39577294,0.097434891
4402794756366307328,18.109301,17.9527,18.0441,18.238001,18.2432,12.42501577,0.181558337
4403059253334693248,18.063299,18.0236,18.1154,18.2416,18.337601,10.63547273,0.170340303
4403335028894782464,18.633101,18.478201,18.4685,18.493299,18.562799,11.23714356,0.237433513
4403502871917348352,0,0,0,0,0,10.91235429,0.704884757
4403541148665907456,0,0,0,0,0,16.59921467,0.62165768
4403559191824602496,16.761299,16.9436,17.1012,17.2897,17.3943,10.07034443,0.080737354
4403768373911022080,13.88059998,14.17080021,14.45890045,14.72819996,14.89960003,24.11118387,0.097732105
4403922924014755456,16.9468,17.0168,17.147499,17.2913,17.3981,15.35961648,0.087248142
440396914222763264,15.13700008,15.46000004,15.74020004,15.98390007,16.13159943,14.65410167,0.041880753
4404459928069184896,20.304501,19.5805,19.2673,19.1495,19.0651,14.31870603,0.411080168
4405080812841630592,17.842699,17.7332,17.725599,17.770399,17.8321,12.8046189,0.154932512
4405513672526728576,19.8687,19.370399,19.1506,19.0861,19.1255,11.6859537,0.443005427
4406242000198708736,19.0016,18.2034,17.8645,17.74,17.699301,23.36819573,0.178947294
4406334049937890176,16.069,16.2635,16.4193,16.6029,16.676201,13.26971044,0.058909287
4406401906122017536,0,0,0,0,0,13.72610575,0.53250233
4406631841491803520,18.6185,18.202801,18.037701,17.974001,17.9765,19.42831028,0.263353015
4406683522836435968,18.76799965,18.55419922,18.50670052,18.53639984,18.53079987,10.13961697,0.239022095
4406733207018066944,16.64620018,16.68330002,16.79459953,16.90579987,17.02560043,14.44676884,0.095352453
4406912010798685568,0,0,0,0,0,13.81694626,0.445214988
4407614499946419200,17.69249916,17.33370018,17.20030022,17.1753006,17.18650055,22.38906363,0.136918797
4408409820512876928,0,0,0,0,0,10.30427766,0.426430545
4408805958238836480,17.560499,17.503401,17.5369,17.608,17.680901,12.08536412,0.130826896
4408948031455742080,18.8703,18.7285,18.739901,18.774099,18.840401,10.10879406,0.265400381
