Gaia DR2 384636109728592768,15.4174,0.0028,15.2652,0.0035,15.2354,0.0009,15.2835,0.0037,15.3072,0.0052,True,approx_rSDSS,
Gaia DR2 2429268309033277184,18.0227,0.0083,18.038,0.0043,18.1577,0.0036,18.3002,0.0097,18.3974,0.0362,True,gSDSS,
Gaia DR2 2797216031272977280,16.6339,0.0032,16.7561,0.0044,16.9271,0.0047,17.0999,0.0062,17.2186,0.0068,True,gSDSS,
Gaia DR2 2429183303040388992,17.8543,0.0157,17.5168,0.0011,17.4204,0.0032,17.3918,0.0122,17.4327,0.0119,True,gSDSS,
Gaia DR2 2859908324567852416,17.6317,0.0071,17.6362,0.003,17.7497,0.0064,17.8834,0.0089,17.9693,0.0178,True,gSDSS,
Gaia DR2 395234439752169344,14.5134,0.0041,14.2642,0.0088,14.2068,0.0004,14.2111,0.012,14.2101,0.0088,True,approx_rSDSS,
Gaia DR2 2443419990050464128,16.2488,0.003,16.4854,0.0031,16.7437,0.0026,16.9729,0.0027,17.0954,0.0112,True,gSDSS,
Gaia DR2 395377513698597888,19.7546,0.0164,19.3893,0.0132,19.2697,0.0081,19.2288,0.0242,19.2522,0.0418,True,approx_rSDSS,
Gaia DR2 2444134496514446976,18.753,0.0049,18.6439,0.0071,18.6133,0.0048,18.6477,0.0198,18.726,0.0148,True,gSDSS,
Gaia DR2 2742615963169132800,19.7987,0.0145,19.3557,0.0078,19.163,0.009,19.1104,0.0171,19.0967,0.0425,True,gSDSS,
Gaia DR2 2361418752153531392,19.1939,0.0127,19.007,0.0056,18.9372,0.0064,18.9543,0.014,18.9435,0.0333,True,approx_rSDSS,
Gaia DR2 2863526233218817024,16.6473,0.0023,16.7751,0.006,16.9336,0.0045,17.1129,0.0071,17.2122,0.0083,True,gSDSS,
Gaia DR2 420531621029108608,18.982,0.0089,17.9806,0.0092,17.541,0.0063,17.3977,0.0034,17.302,0.0046,True,approx_rSDSS,
Gaia DR2 2541549062071571968,18.8024,0.0091,18.0263,0.0058,17.7011,0.0149,17.5912,0.0061,17.5251,0.0137,True,gSDSS,
Gaia DR2 2545505281002947200,15.3759,0.0013,15.4163,0.002,15.5286,0.0082,15.6591,0.0055,15.7604,0.0025,True,approx_rSDSS,
Gaia DR2 2541439385787424384,18.2915,0.0124,17.9639,0.0037,17.8333,0.004,17.814,0.0151,17.8283,0.0078,True,gSDSS,
Gaia DR2 2418116963320446720,0,0,0,0,0,0,0,0,0,0,False,0,
Gaia DR2 2431129163744714240,16.7783,0.004,16.8898,0.0036,16.9838,0.0109,17.0999,0.0166,17.0506,0.0387,True,gSDSS,
Gaia DR2 2429392661221943040,19.5847,0.0103,19.2263,0.0094,19.1286,0.0041,19.109,0.0111,19.1231,0.0345,True,gSDSS,
Gaia DR2 392346293286372096,20.4545,0.0218,19.7703,0.0068,19.4925,0.0081,19.3786,0.0152,19.3381,0.0377,True,approx_rSDSS,
Gaia DR2 2416439692692047232,17.5392,0.0056,17.5126,0.0059,17.5916,0.0062,17.6827,0.0074,17.7308,0.0106,True,approx_rSDSS,
Gaia DR2 2364587647743373056,19.1686,0.0117,18.5439,0.0037,18.2847,0.0026,18.1987,0.0033,18.1356,0.0227,True,gSDSS,
Gaia DR2 2545590733671247744,18.1647,0.0034,17.6304,0.0112,17.4315,0.0074,17.2487,0.0294,16.9547,0.005,True,approx_rSDSS,
Gaia DR2 2768116146078155648,17.2582,0.0063,17.2474,0.0052,17.3059,0.005,17.3968,0.0056,17.4829,0.0054,True,gSDSS,
Gaia DR2 2850426479892014976,20.0888,0.0124,19.3857,0.0093,19.1353,0.0096,18.9691,0.0221,18.9119,0.0213,True,gSDSS,
Gaia DR2 2320424113946068736,18.3364,0.0084,18.2159,0.0042,18.1923,0.0051,18.2383,0.0175,18.2502,0.0249,True,approx_rSDSS,
Gaia DR2 392128830498842112,17.906,0.0065,17.8921,0.0045,17.9714,0.0062,18.0822,0.0123,18.1501,0.014,True,approx_rSDSS,
Gaia DR2 2541707185587555584,18.7063,0.0101,18.3475,0.006,18.2135,0.0045,18.2105,0.0098,18.2005,0.01,True,gSDSS,
Gaia DR2 2336189396997071616,15.2854,0.0091,15.6094,0.0047,15.9065,0.0031,16.1506,0.0065,16.3094,0.0079,True,approx_rSDSS,
Gaia DR2 2320245997358160128,18.8907,0.0052,18.6556,0.0038,18.5828,0.0072,18.5969,0.0188,18.6001,0.0509,True,approx_rSDSS,
Gaia DR2 2365285768910490752,17.341,0.0061,17.3645,0.0022,17.4367,0.0057,17.5679,0.0067,17.6378,0.0265,True,gSDSS,
Gaia DR2 2361123984252160512,19.9018,0.0081,19.2753,0.0097,19.0306,0.0062,18.9358,0.0415,18.9117,0.0188,True,approx_rSDSS,
Gaia DR2 2361017018091571072,20.1819,0.0142,19.5723,0.02,19.2991,0.0094,19.1718,0.0423,19.1918,0.0431,True,approx_rSDSS,
Gaia DR2 429157598986180992,20.1711,0.0306,19.6305,0.0158,19.4068,0.0085,19.3228,0.0292,19.2552,0.0582,True,approx_rSDSS,
Gaia DR2 2335680765495028224,18.3612,0.0032,18.2157,0.0068,18.1969,0.0056,18.249,0.0162,18.296,0.0214,True,approx_rSDSS,
Gaia DR2 2443800726015833984,19.1451,0.0134,18.8328,0.0074,18.7149,0.009,18.6828,0.0121,18.6676,0.0293,True,gSDSS,
Gaia DR2 2741440172922171008,18.629,0.0066,18.4983,0.0074,18.4572,0.0064,18.5151,0.0029,18.6073,0.0187,True,gSDSS,
Gaia DR2 2365377406330609920,14.9456,0.002,15.2605,0.0023,15.4724,0.0226,15.7832,0.0236,15.6588,0.0046,True,approx_rSDSS,
Gaia DR2 429153475817442688,17.1732,0.0068,17.2122,0.0049,17.2945,0.0025,17.4298,0.007,17.4718,0.0145,True,approx_rSDSS,
Gaia DR2 2443826805441462656,17.9146,0.0057,17.5172,0.0032,17.3535,0.0105,17.3168,0.0071,17.2697,0.0129,True,gSDSS,
Gaia DR2 2797842095770634752,18.4963,0.0058,18.4151,0.0067,18.4523,0.0078,18.5421,0.009,18.5359,0.0196,True,gSDSS,
Gaia DR2 2428166156000618112,15.0777,0.0015,15.3439,0.002,15.5925,0.0034,15.8139,0.0029,15.9754,0.0054,True,gSDSS,
Gaia DR2 2876148734080688256,18.2634,0.0071,18.1487,0.0074,18.1279,0.0037,18.1612,0.0089,18.2071,0.0105,True,gSDSS,
Gaia DR2 2876148729784835584,19.7898,0.0144,19.4366,0.0079,19.2781,0.0099,19.2611,0.018,19.1935,0.0124,True,gSDSS,
Gaia DR2 2548152217808246528,17.1066,0.0052,17.1616,0.0031,17.2912,0.003,17.4329,0.0057,17.5359,0.0101,True,gSDSS,
Gaia DR2 2862337802883401856,17.3094,0.0032,17.118,0.0024,17.0741,0.0053,17.1008,0.006,17.1236,0.0141,True,gSDSS,
Gaia DR2 2323704339384503040,15.8589,0.0009,15.9598,0.0045,16.1462,0.0042,16.3345,0.0046,16.4393,0.0107,True,approx_rSDSS,
Gaia DR2 2428145295344110080,18.7469,0.0128,18.664,0.0077,18.657,0.005,18.7142,0.0075,18.7589,0.0152,True,gSDSS,
Gaia DR2 2361264618662161920,15.3009,0.0023,15.5373,0.0053,15.7819,0.0015,15.997,0.0006,16.1393,0.0051,True,approx_rSDSS,
Gaia DR2 2424913628807069056,17.9679,0.0043,17.9319,0.0036,18.022,0.0189,18.1462,0.0128,18.2298,0.0071,True,gSDSS,
Gaia DR2 2321888766513549824,18.7983,0.0105,18.6776,0.0083,18.6511,0.0064,18.7323,0.0302,18.7189,0.0265,True,approx_rSDSS,
Gaia DR2 385166486649719552,17.4783,0.0086,17.5228,0.006,17.6611,0.0035,17.8152,0.0046,17.9345,0.0172,True,approx_rSDSS,
Gaia DR2 2423337955632676096,19.6291,0.0202,18.8503,0.0129,18.5482,0.0073,18.4187,0.0156,18.3533,0.0219,True,gSDSS,
Gaia DR2 419707266483714176,17.9237,0.0038,17.5689,0.0044,17.384,0.0042,17.3593,0.0043,17.3808,0.0098,True,approx_rSDSS,
Gaia DR2 2756156315721682816,15.231,0.0012,15.5246,0.0022,15.803,0.002,16.0501,0.0091,16.2125,0.0047,True,gSDSS,
Gaia DR2 2855799415254881408,16.002,0.0051,16.2364,0.0045,16.5024,0.0053,16.737,0.0038,16.8927,0.0057,True,gSDSS,
Gaia DR2 2368673162369962112,19.496,0.0084,19.1772,0.0086,19.0734,0.0144,19.0576,0.0103,19.0401,0.029,True,gSDSS,
Gaia DR2 2545305410405677312,18.606,0.0076,18.4434,0.007,18.4087,0.0059,18.4538,0.0112,18.4861,0.0263,True,gSDSS,
Gaia DR2 392066330134300032,19.6214,0.0144,19.1663,0.012,18.9827,0.0055,18.9172,0.0139,18.8938,0.0254,True,approx_rSDSS,
Gaia DR2 2546887573277984256,16.7268,0.0044,16.7351,0.003,16.8288,0.0046,16.9348,0.0052,17.0128,0.0143,True,gSDSS,
Gaia DR2 2864048501242349952,19.3039,0.0056,18.6984,0.005,18.4425,0.0059,18.3687,0.0086,18.3085,0.0127,True,gSDSS,
Gaia DR2 2321679618786073600,18.8454,0.0169,18.6571,0.0078,18.6775,0.0056,18.7701,0.0306,18.7441,0.0208,True,approx_rSDSS,
Gaia DR2 392036334082511616,18.0025,0.0046,17.796,0.0039,17.737,0.0048,17.777,0.0052,17.818,0.0168,True,approx_rSDSS,
Gaia DR2 2855790657816672000,18.0857,0.0087,17.4362,0.0045,17.1787,0.004,17.0859,0.0054,17.0227,0.0089,True,gSDSS,
Gaia DR2 378856389416637056,16.3796,0.0033,16.5541,0.0051,16.7429,0.003,16.9268,0.0041,17.0394,0.0058,True,gSDSS,
Gaia DR2 421958168642816128,20.4765,0.0286,19.8375,0.014,19.5562,0.0374,19.5176,0.0183,19.5094,0.0395,True,approx_rSDSS,
Gaia DR2 385105360675267840,16.7692,0.002,16.3636,0.0021,16.2141,0.0031,16.1798,0.0048,16.1641,0.0063,True,approx_rSDSS,
Gaia DR2 2423499381975837056,17.3923,0.0037,17.4991,0.0041,17.6597,0.0048,17.8581,0.0093,17.947,0.0124,True,gSDSS,
Gaia DR2 2367203630719633664,19.138,0.0118,18.8288,0.0165,18.7349,0.0115,18.7652,0.0205,18.6928,0.0154,True,approx_rSDSS,
Gaia DR2 2430172867800520576,20.2981,0.0209,19.6195,0.0046,19.3385,0.0061,19.257,0.017,19.1241,0.027,True,gSDSS,
Gaia DR2 380130478585403264,18.4581,0.0078,18.1553,0.0046,18.0671,0.0043,18.0719,0.0105,18.0885,0.0155,True,approx_rSDSS,
Gaia DR2 2362012522792081792,18.1826,0.0063,18.1664,0.0053,18.219,0.0061,18.3136,0.0053,18.3275,0.0192,True,gSDSS,
Gaia DR2 392544862508739456,15.2322,0.0073,15.5508,0.0011,15.863,0.0057,16.123,0.0037,16.295,0.0051,True,approx_rSDSS,
Gaia DR2 2792477995150491264,20.2105,0.0142,19.5666,0.015,19.329,0.0095,19.1956,0.0139,19.1786,0.0311,True,gSDSS,
