request,su,sg,sr,si,sz,PS_g,PS_r,PS_i,PS_z,PS_y
Gaia DR2 1052563683861162880,18.91609,18.10632,17.80228,17.66217,17.64248,18.09370041,17.79269981,17.69070053,17.67609978,17.67210007
Gaia DR2 1053106739526215424,21.59,19.977,19.296,19.001,18.696,19.9083,19.32,19.080999,19.003201,18.932199
Gaia DR2 1053321934567306752,19.373,18.951,18.793,18.681,18.641,18.973801,18.7698,18.6758,18.674601,18.686899
Gaia DR2 1053338358522319104,24.021,20.787,20.048,19.892,19.593,0,0,0,0,0
Gaia DR2 1054193507986658432,19.927,19.107,18.784,18.683,18.765,19.0499,18.752899,18.623899,18.627899,18.635201
Gaia DR2 105430868613160832,21.789,19.866,18.978,18.64,18.428,0,0,0,0,0
Gaia DR2 1054565688376904448,25.178,20.992,19.926,19.606,19.339,0,0,0,0,0
Gaia DR2 1055219863435386880,21.613,19.887,19.115,18.789,18.626,19.7528,19.083799,18.819799,18.696699,18.583
Gaia DR2 1055313016981775488,19.382,17.906,17.285,17.038,16.956,17.829,17.289,17.084,17.019,16.957
Gaia DR2 1055533400343235456,23.587,20.895,19.842,19.485,19.237,0,0,0,0,0
Gaia DR2 1056003918305358592,19.86,18.773,18.492,18.463,18.479,18.7052,18.476299,18.4356,18.5369,18.5238
Gaia DR2 1056520418188043264,20.941,19.599,19.033,18.783,18.75,19.5247,19.021,18.840401,18.7686,18.785
Gaia DR2 105670871385474560,17.083,16.613,16.733,16.881,17.066,16.6099,16.715401,16.915199,17.0938,17.216101
Gaia DR2 105697328384163712,0,0,0,0,0,0,0,0,0,0
Gaia DR2 1056998259069523584,18.14,17.503,17.281,17.223,17.3,17.49620056,17.28310013,17.24480057,17.27599907,17.31170082
Gaia DR2 1057020382445488512,21.32,20.069,19.557,19.339,19.338,19.944,19.471201,19.316299,19.2547,19.193501
Gaia DR2 105716359383595136,20.318,19.393,18.983,18.798,18.679,19.340401,18.965,18.8479,18.792101,18.7388
