designation,source_id,ra,dec,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,su,sg,sr,si,sz
Gaia DR2 886366114708208640,886366114708208640,107.5201273,29.40065157,14.44622352,0.078099833,-1.383031424,-101.3546032,15.51571,15.453809,15.578268,-0.12445927,15.681,15.29,15.62,15.87,16.138
Gaia DR2 4498368292781035008,4498368292781035008,270.9941592,14.73954389,13.72387433,0.168062201,-1.4774007,-52.72392335,18.052225,18.241478,17.655794,0.5856838,0,0,0,0,0
Gaia DR2 485374906957209728,485374906957209728,79.37484349,68.93117902,15.52598541,0.186965158,-1.4902252,-295.0407896,18.701246,19.069683,18.158585,0.9110985,0,0,0,0,0
Gaia DR2 2111818759265059328,2111818759265059328,278.4001238,43.59397751,18.15872446,0.204549029,-1.527977732,301.1358395,18.946404,19.503511,18.169537,1.3339748,0,0,0,0,0
Gaia DR2 154230836785464960,154230836785464960,74.37779269,28.15127901,20.14950946,0.275095124,-1.563570595,-179.9448567,18.405546,18.918526,17.731827,1.1866989,0,0,0,0,0
Gaia DR2 767724270288678784,767724270288678784,174.3582386,40.32874695,10.45440697,0.183212517,-1.572698473,-51.64264802,18.20207,18.28299,17.887882,0.39510727,18.742,18.33,18.197,18.22,18.382
Gaia DR2 3252915149459995136,3252915149459995136,61.57071165,-2.393009742,14.34466992,0.280388203,-1.572811276,-29.07355057,19.061756,19.562717,18.335764,1.2269535,0,0,0,0,0
Gaia DR2 665991789427730432,665991789427730432,129.1042189,22.27657699,11.41661618,0.186208791,-1.632643426,-52.32502054,17.971453,18.074316,17.706257,0.36805916,18.48989,18.05372,17.98137,18.00662,18.11787
Gaia DR2 122197149626754688,122197149626754688,49.60720873,29.10331227,10.69751671,0.19141681,-1.662151224,-54.14707418,18.158043,18.31256,17.798428,0.51413155,0,0,0,0,0
Gaia DR2 4378200708477838464,4378200708477838464,254.5080268,-2.486843697,16.3263751,0.053405071,-1.702229423,-34.28246162,15.494713,15.398854,15.525104,-0.12624931,0,0,0,0,0
Gaia DR2 2287653105457397888,2287653105457397888,346.6950694,82.73805983,10.32106235,0.090288001,-1.721742204,-17.02770397,17.361677,17.293259,17.235275,0.0579834,0,0,0,0,0
Gaia DR2 2095961155897487872,2095961155897487872,278.0783906,36.54361101,14.25455014,0.235036679,-1.722280695,-38.97692524,18.982956,19.467773,18.273375,1.1943989,0,0,0,0,0
Gaia DR2 1432282429696050048,1432282429696050048,255.9407347,55.69019254,10.07933912,0.129805915,-1.738503683,86.27017912,18.455225,18.586456,18.041029,0.5454273,0,0,0,0,0
Gaia DR2 377231139432432384,377231139432432384,14.23821795,44.17181957,13.73687697,0.06262558,-1.742131685,-6.008366219,15.9587345,15.933604,15.982293,-0.04868889,16.296,15.921,16.049,16.379,16.599
Gaia DR2 1695004995075958784,1695004995075958784,220.7835195,70.37537107,11.3802022,0.369285146,-1.745666252,96.97879948,19.682821,20.036526,19.206518,0.83000755,0,0,0,0,0
Gaia DR2 1346507843985396992,1346507843985396992,268.6425591,43.93919197,18.74167316,0.06582715,-1.788410826,18.92446116,17.299803,17.429476,17.013914,0.41556168,17.829,17.418,17.33,17.302,17.398
Gaia DR2 51567821194916736,51567821194916736,58.52804112,20.73719512,14.37496984,0.351621608,-1.805931767,-54.08357901,18.952377,19.280542,18.289677,0.9908657,0,0,0,0,0
Gaia DR2 2957768982608383488,2957768982608383488,80.21718167,-25.4366009,16.28864322,0.159130352,-1.820743753,-461.1039568,18.262747,18.660463,17.736494,0.92396927,0,0,0,0,0
Gaia DR2 715437789400182016,715437789400182016,136.8015328,36.7214761,19.35655934,0.084848858,-1.83820729,-91.24162102,16.661814,16.741108,16.46833,0.27277756,17.08833,16.71408,16.70129,16.73661,16.85275
Gaia DR2 6865904860773722496,6865904860773722496,301.6343482,-21.02841431,25.45950961,0.140077536,-1.862755366,39.18051441,17.64334,18.058516,17.009245,1.0492706,0,0,0,0,0
Gaia DR2 3392181976588782336,3392181976588782336,76.56591516,14.80806246,25.92479027,0.067093255,-1.87017773,-81.43718334,14.119615,13.978468,14.189858,-0.2113905,14.958,14.135,16.708,14.559,15.388
Gaia DR2 3184260681348320000,3184260681348320256,70.6030304,-10.9890224,10.11462876,0.286733744,-1.878488266,-60.67917449,18.853535,19.04195,18.480053,0.5618973,0,0,0,0,0
Gaia DR2 1183473535423719296,1183473535423719296,227.4252798,14.18933407,20.08224369,0.121900423,-1.931568336,33.07019699,17.412283,17.652935,16.978985,0.6739502,18.388,17.654,17.381,17.29,17.285
Gaia DR2 4209983637108634240,4209983637108634240,294.1319013,-4.598345767,21.13344466,0.108513993,-1.940431228,-64.38340507,17.061428,17.252434,16.710098,0.5423355,0,0,0,0,0
Gaia DR2 5104908586547962112,5104908586547962112,50.19596829,-18.9240472,10.1774239,0.086202827,-1.96033737,-57.0062557,16.935905,16.913004,16.911125,0.001878738,0,0,0,0,0
Gaia DR2 3051580070606206080,3051580070606206080,106.2808854,-8.177912446,11.88729543,0.170364995,-2.003672045,-42.41191377,18.235428,18.430452,17.861954,0.5684986,0,0,0,0,0
Gaia DR2 3789953432039913984,3789953432039913984,169.4790925,-3.674012725,18.10644305,0.208509439,-2.024192982,-117.2165384,18.17302,18.465702,17.712326,0.753376,0,0,0,0,0
Gaia DR2 3180577660993161728,3180577660993161728,75.11413269,-11.35921304,11.92035977,0.305838899,-2.036774733,-192.2288113,19.072197,19.249113,18.792826,0.45628738,0,0,0,0,0
Gaia DR2 6887386745296346624,6887386745296346624,311.6343531,-14.21875393,15.7254863,0.082923511,-2.043808036,48.21605705,16.67525,16.75606,16.46218,0.29388046,17.188,16.739,16.711,16.75,16.876
Gaia DR2 5616036461009860992,5616036461009860992,110.2683783,-26.58716019,14.18236751,0.126884929,-2.049795454,-43.13569294,18.105701,18.242647,17.808638,0.43400955,0,0,0,0,0
Gaia DR2 3005140002278350976,3005140002278350976,91.46396129,-9.950322106,14.60458775,0.130690684,-2.084680926,-14.55385517,17.587214,17.708502,17.278088,0.4304142,0,0,0,0,0
Gaia DR2 4525117825843103872,4525117825843103872,276.9971775,19.15005757,12.10719253,0.306896577,-2.155601133,15.12979568,18.589874,18.753042,18.23021,0.5228329,0,0,0,0,0
Gaia DR2 4513289043576182144,4513289043576182144,288.3746231,16.63888721,12.94621114,0.072699521,-2.190623496,-136.959053,16.721811,16.852047,16.436062,0.4159851,17.31599998,16.82699966,16.72800064,16.75200081,16.81900024
Gaia DR2 3955739783846030208,3955739783846030208,189.756479,22.46959728,11.1504437,0.133892681,-2.191705015,-16.64652048,17.703081,17.735336,17.521929,0.21340752,17.956,17.624,17.729,17.844,17.994
Gaia DR2 3763292779032935552,3763292779032935552,163.1532682,-7.550687363,10.98762752,0.123857849,-2.193541359,-43.91043405,17.587711,17.658916,17.366962,0.29195404,0,0,0,0,0
Gaia DR2 898473932456801024,898473932456801024,112.3503745,35.87323513,12.18099773,0.199247638,-2.209043117,-58.60059848,17.41676,17.411455,17.275553,0.1359024,17.601,17.383,17.458,17.554,17.702
