id,Column2,Column1,g,ge,r,re,i,ie,z,ze,y,ye
2853763295814123264,17.62634621,0.264814152,19.4424,0.012,18.7115,0.0081,18.4167,0.007,18.2993,0.0092,18.249,0.0127
2854432108121022464,12.38868913,0.286880711,18.9634,0.0086,18.6318,0.0076,18.5089,0.0062,18.5258,0.0066,18.5051,0.0149
2854727528856212992,12.5583867,0.523802698,20.0207,0.0165,19.3551,0.0103,19.0895,0.0085,18.974,0.0185,18.9235,0.0219
2855790657816672000,30.68208412,0.132594142,18.0857,0.0087,17.4362,0.0045,17.1787,0.004,17.0859,0.0054,17.0227,0.0089
2855799415254881408,10.40157757,0.069395435,16.002,0.0051,16.2364,0.0045,16.5024,0.0053,16.737,0.0038,16.8927,0.0057
2856067008897130112,14.55380011,0.198505706,18.7935,0.0107,18.4708,0.0056,18.3738,0.0034,18.3732,0.0092,18.3866,0.017
2856257606661059456,11.23686032,0.109072078,16.6535,0.0069,16.8523,0.0036,17.0762,0.0034,17.2723,0.0042,17.4029,0.0092
285659030771435392,10.900882,0.442384586,20.5147,0.025,19.7239,0.0141,19.4483,0.0095,19.3196,0.0168,19.2605,0.028
2857547329505058176,11.51009578,0.276354023,19.1378,0.0072,18.7942,0.0025,18.7168,0.0087,18.7103,0.0098,18.7153,0.0275
2858325611939289472,11.72266411,0.289533494,18.831,0.009,18.6597,0.0035,18.6189,0.0051,18.6646,0.0075,18.7175,0.0183
2858553485723741312,15.61373063,1.077747451,20.3399,0.0233,20.3897,0.0356,20.9159,0.0434,21.619,0.2145,0,0
2858896086675180928,12.70976727,0.238715056,18.7783,0.007,18.5187,0.0044,18.4353,0.0071,18.4428,0.0112,18.4699,0.0221
2859908324567852416,11.01973466,0.115456824,17.6317,0.0071,17.6362,0.003,17.7497,0.0064,17.8834,0.0089,17.9693,0.0178
2860951829821782016,13.74084198,0.114647609,16.8799,0.0035,16.9527,0.0039,17.0977,0.0065,17.2432,0.0033,17.3671,0.0106
2861037080628898816,10.47191206,0.584783907,20.5044,0.0202,19.8504,0.0118,19.5959,0.0098,19.4718,0.0079,19.4324,0.0343
2861039996910810880,10.95623511,0.111575601,17.2546,0.0055,17.3491,0.002,17.5053,0.0031,17.654,0.0054,17.7736,0.0103
2861250420244232448,10.76340339,0.356620314,19.9052,0.0131,19.1339,0.0079,18.8335,0.0045,18.7176,0.0059,18.636,0.0133
2861367067259811840,10.17835181,0.230165818,18.732,0.0049,18.6829,0.0062,18.7461,0.0059,18.824,0.0059,18.8653,0.0226
2861452348130844160,10.16289348,0.080984688,16.6914,0.0062,17.0104,0.0059,17.3204,0.006,17.5766,0.008,17.7538,0.0134
2861792754354276352,18.63766133,0.076826097,16.8072,0.0041,16.7432,0.0071,16.8471,0.0028,16.944,0.0047,17.0089,0.0113
2862337802883401856,18.54839926,0.096613085,17.3094,0.0032,17.118,0.0024,17.0741,0.0053,17.1008,0.006,17.1236,0.0141
286251461381258624,10.58325523,0.231629246,18.8496,0.0042,18.5979,0.0098,18.5315,0.0098,18.5587,0.0084,18.5598,0.0304
2862873192032202112,12.62191938,0.176994697,18.0109,0.003,18.0133,0.0082,18.0915,0.0046,18.2188,0.0088,18.2829,0.0139
286315576653291904,11.38221662,0.256155401,19.2308,0.0213,18.6202,0.0145,18.3714,0.006,18.2901,0.0162,18.1985,0.016
2863526233218817024,11.13626021,0.078822299,16.6473,0.0023,16.7751,0.006,16.9336,0.0045,17.1129,0.0071,17.2122,0.0083
2864048501242349952,16.17842804,0.442942387,19.3039,0.0056,18.6984,0.005,18.4425,0.0059,18.3687,0.0086,18.3085,0.0127
2864507860881192320,11.21317919,0.092797033,16.6058,0.0048,16.7579,0.0036,16.6143,0.0066,16.1936,0.0048,15.8378,0.0035
2865060636057386112,11.40788931,0.282589609,18.7768,0.0072,18.4859,0.0105,18.3803,0.0039,18.3964,0.0086,18.3728,0.0186
2865356890015992320,12.21593421,0.078813475,16.5058,0.003,16.6727,0.0038,16.8698,0.0044,17.0516,0.0038,17.1684,0.0085
2866228901519900544,13.00820809,0.307378201,19.1732,0.005,18.8262,0.0078,18.6904,0.0076,18.6921,0.0099,18.675,0.0259
2867032958053059200,47.74076789,0.050437111,15.9493,0.0022,15.5878,0.0056,15.4382,0.0026,15.4131,0.0036,15.4182,0.0041
2867052199506324736,10.94168672,0.13009883,17.4401,0.005,17.4335,0.0053,17.5006,0.0037,17.5843,0.0046,17.6518,0.007
2867203584218146944,11.53367286,0.097366746,17.0217,0.0033,17.1515,0.0049,17.3337,0.0044,17.538,0.0054,17.658,0.0084
2867729563092848512,10.58871533,0.471047519,20.0938,0.0207,19.5941,0.0105,19.3728,0.0092,19.3138,0.006,19.2067,0.0283
2867762587097269888,14.33696663,0.065070266,15.5411,0.0022,15.8028,0.0061,16.0681,0.0021,16.2928,0.0035,16.43,0.0079
2868367245477025920,13.50328552,0.422441723,20.4598,0.026,19.6163,0.0122,19.254,0.007,19.0939,0.0113,18.9152,0.0454
2869130517001766400,25.51890395,0.065241238,16.4738,0.005,16.3215,0.0037,16.321,0.007,16.3528,0.0044,16.3836,0.0051
286925049691578496,12.80840783,0.184232759,18.4549,0.0124,18.2148,0.004,18.1468,0.0035,18.1574,0.0059,18.1321,0.0155
2869685285040721536,10.34496723,0.369118455,19.3434,0.0171,19.1506,0.0109,19.088,0.0123,19.093,0.0181,19.097,0.0448
286977585732431488,12.6272152,0.138305107,18.0165,0.0158,17.9414,0.0034,17.9552,0.0036,18.0491,0.0079,18.0815,0.026
2870129010998688512,11.90199327,0.111438166,17.5585,0.005,17.4999,0.0044,17.5261,0.0043,17.618,0.0053,17.6845,0.0133
2871162547632415744,10.5054493,0.341412085,18.9903,0.0093,18.7797,0.0077,18.6984,0.004,18.6902,0.0131,18.7023,0.0176
2871730307948650368,53.69962896,0.091695794,12.8799,0.0031,14.7501,0.0013,13.3309,0.0117,13.5423,0.0021,13.6791,0.002
2872373629627611520,17.22098179,0.167378893,18.0823,0.0063,17.8995,0.0042,17.8552,0.0053,17.9066,0.0147,17.946,0.0155
2872712618509070080,10.46472374,0.119716341,17.6897,0.0044,17.6614,0.0049,17.7241,0.0026,17.8262,0.0072,17.8905,0.0116
2872720967925458560,12.02580363,0.368923503,19.4818,0.0098,19.037,0.0089,18.877,0.0086,18.7999,0.012,18.8069,0.0418
2872974856329379968,11.19682012,0.234479341,18.6676,0.0103,18.452,0.0026,18.3672,0.0064,18.3919,0.0185,18.3996,0.012
287331323534964096,12.02823649,0.131060146,17.6577,0.0044,17.4459,0.0037,17.3972,0.0026,17.4174,0.0065,17.4465,0.0138
2874216647336589568,10.15457941,0.302938441,19.4907,0.0077,19.1606,0.0122,19.0576,0.0096,19.0394,0.0287,19.009,0.0327
2874425180884785920,10.82329958,0.418770854,20.1404,0.0171,19.51,0.0075,19.2585,0.0091,19.1982,0.0155,19.0551,0.0229
2874829247112790528,12.21939261,0.498215985,20.504,0.0051,19.6491,0.0099,19.3697,0.0103,19.2609,0.013,19.2181,0.0328
2875903332533220992,29.3357309,0.098658279,17.6047,0.0033,17.2258,0.0043,17.1177,0.0026,17.0499,0.0022,17.0806,0.0084
2876148729784835584,10.07143621,0.331178842,19.7898,0.0144,19.4366,0.0079,19.2781,0.0099,19.2611,0.018,19.1935,0.0124
2876148734080688256,10.43522955,0.151292563,18.2634,0.0071,18.1487,0.0074,18.1279,0.0037,18.1612,0.0089,18.2071,0.0105
2876705018245556480,11.04162504,0.101979959,17.0308,0.0039,17.1452,0.0054,17.3,0.0035,17.4793,0.0024,17.597,0.0078
2876822146296910976,11.69884307,0.479079995,20.5582,0.0171,19.817,0.0124,19.509,0.0064,19.3988,0.0137,19.3504,0.0245
2877080497170502144,11.66031568,0.280486834,19.0253,0.0083,18.848,0.0095,18.8333,0.0084,18.5776,0.0147,18.4474,0.0133
2877318060401894144,10.82736279,0.119226511,17.4911,0.0056,17.5976,0.0078,17.7608,0.0055,17.9655,0.0122,18.0485,0.0122
2877532503824528640,14.33163781,0.072404474,16.0458,0.0023,16.1811,0.0071,16.3741,0.0031,16.5732,0.0033,16.6977,0.0079
2878163172526469376,17.58024837,0.163347673,18.395,0.0039,18.0148,0.0052,17.8675,0.0054,17.8261,0.006,17.8264,0.0106
2878546249251932928,16.29873027,0.215598375,19.0568,0.0081,18.6908,0.0049,18.5499,0.0056,18.5362,0.007,18.4686,0.0133
2878572534449316096,15.77378726,0.284669436,19.3771,0.0157,18.717,0.0051,18.4411,0.0059,18.3529,0.0108,18.3167,0.02
2878797526311723776,14.5073333,0.099795391,16.9996,0.0055,16.9956,0.0017,17.0785,0.0037,17.1997,0.0043,17.2673,0.0119
2879667033851088896,19.62197,0.198679589,17.9633,0.0166,17.6755,0.0154,17.6077,0.0079,17.6537,0.0087,17.5675,0.0157
2880479190695673856,11.09399232,0.37022393,19.9549,0.0207,19.2483,0.01,18.9677,0.0068,18.8349,0.0143,18.8232,0.0172
2881215970856879616,12.96454029,0.083230389,16.2117,0.0024,16.4011,0.006,16.6044,0.0038,16.7923,0.0043,16.9279,0.0076
2881240087097750528,12.08237351,0.13057549,17.4478,0.0058,17.4256,0.0046,17.4855,0.004,17.6004,0.0051,17.6527,0.0138
2881651068223602176,13.97059262,0.215398126,18.825,0.0073,18.482,0.0047,18.3714,0.0045,18.3785,0.0066,18.3811,0.0214
2881925666956510848,15.54665038,0.079820847,16.8069,0.0074,16.8629,0.0048,16.9864,0.0042,17.1314,0.0048,17.2481,0.0091
288287451972695808,13.50820716,0.080274709,16.7015,0.004,16.7686,0.0062,16.8928,0.0045,17.0095,0.005,17.0225,0.0068
288744844514936576,11.34558877,0.18207768,18.2714,0.0055,18.26,0.0036,18.2935,0.0048,18.3967,0.0086,18.4748,0.023
2894376880228558336,10.06316901,0.166113423,18.7471,0.008,18.5599,0.0054,18.5081,0.0071,18.5403,0.0207,18.5901,0.0648
2895187220296743808,11.09044165,0.150154001,18.2132,0.0077,18.2401,0.0083,18.3449,0.0047,18.4979,0.0122,18.5601,0.0269
2895487456076198656,34.60009804,0.128987877,18.92,0.0082,17.892,0.0059,17.4351,0.0044,17.2393,0.0116,17.1538,0.0095
2895782056088405888,11.94541002,0.19694178,19.0591,0.015,18.8327,0.0101,18.7865,0.0064,18.7835,0.02,18.784,0.0174
2898123053782050304,15.08256964,0.230939399,19.4171,0.017,18.8784,0.0136,18.6627,0.0055,18.5669,0.011,18.4757,0.0534
2898486103071975680,10.13825679,0.184499391,19.0151,0.0121,18.595,0.0112,18.417,0.0064,18.3226,0.0136,18.3018,0.015
2898655286128869120,16.75967584,0.271081758,19.6455,0.0153,18.8957,0.0117,18.5692,0.0066,18.4819,0.01,18.3993,0.0211
